customer_id,first_name,last_name,gender,age,country,city,signup_date,company_size,industry
1,Vincent,Morris,Other,35,Australia,Sydney,2022-02-21,Startup,Finance
2,Kimberly,Watts,Other,65,India,Bangalore,2022-07-29,Individual,Retail
3,Victoria,Gonzalez,Male,31,Canada,Toronto,2022-03-03,Startup,Retail
4,Mckenzie,Bright,Male,63,Germany,Berlin,2025-02-23,Enterprise,Finance
5,Jesse,Edwards,Male,62,Canada,Vancouver,2022-01-14,Enterprise,Healthcare
6,Carly,Brown,Female,24,UK,London,2023-03-17,Individual,Education
7,Jeanette,Freeman,Other,34,USA,San Francisco,2023-12-06,Individual,Marketing
8,Angela,Smith,Male,53,Canada,Toronto,2024-02-15,SMB,Marketing
9,Shelley,Thompson,Male,63,Germany,Munich,2025-03-28,Individual,Technology
10,Lisa,Phillips,Male,32,Australia,Sydney,2023-08-16,Individual,Education
11,Jason,Price,Male,41,UK,Manchester,2024-01-18,SMB,Finance
12,Nathan,Aguirre,Other,58,Australia,Melbourne,2022-05-27,Startup,Retail
13,Paul,Moore,Female,42,Australia,Sydney,2022-12-01,SMB,Marketing
14,Richard,Terry,Male,32,Australia,Sydney,2023-10-27,Individual,Healthcare
15,Tina,Figueroa,Male,54,Canada,Vancouver,2022-05-16,SMB,Finance
16,Renee,Hanson,Other,47,Australia,Melbourne,2024-03-21,Startup,Healthcare
17,Julie,Murphy,Other,34,India,Ahmedabad,2025-02-23,Enterprise,Retail
18,Brooke,Jones,Male,50,Canada,Vancouver,2023-03-26,Enterprise,Technology
19,Paula,Cooper,Male,58,Singapore,Singapore,2022-08-13,Startup,Marketing
20,Sue,Marshall,Female,56,Canada,Toronto,2024-02-28,Enterprise,Retail
21,Sean,May,Other,52,UK,London,2022-08-23,SMB,Marketing
22,Joshua,Foster,Female,28,UK,London,2023-08-25,Enterprise,Technology
23,Matthew,Snyder,Male,50,Australia,Melbourne,2024-10-22,Individual,Marketing
24,Danielle,Baker,Female,28,UK,London,2022-11-10,Individual,Retail
25,Dale,Malone,Male,41,UK,Manchester,2022-02-09,SMB,Finance
26,Michael,Merritt,Male,23,USA,New York,2025-03-07,Enterprise,Technology
27,Kimberly,Murphy,Other,48,Singapore,Singapore,2022-09-20,Startup,Healthcare
28,Robin,House,Other,64,Germany,Munich,2023-03-10,Startup,Marketing
29,Jillian,Parker,Female,51,UK,Manchester,2024-02-04,Enterprise,Technology
30,Michael,Jones,Female,19,India,Ahmedabad,2022-05-12,Startup,Retail
31,Jessica,Green,Other,58,India,Ahmedabad,2022-05-26,Individual,Finance
32,Tracy,Luna,Male,50,USA,New York,2023-11-08,Startup,Healthcare
33,Sonya,Clarke,Other,26,Australia,Melbourne,2023-03-15,Enterprise,Finance
34,Anita,Reed,Male,24,Singapore,Singapore,2024-04-13,Individual,Marketing
35,Gary,Hill,Female,47,Canada,Vancouver,2024-05-17,Individual,Marketing
36,David,Proctor,Female,64,Australia,Sydney,2022-05-05,SMB,Technology
37,Kaitlyn,Ortega,Other,46,India,Ahmedabad,2023-01-25,Startup,Education
38,Amy,Fry,Male,22,India,Mumbai,2024-08-05,Enterprise,Retail
39,Tyler,Murphy,Male,23,USA,New York,2025-01-12,Startup,Finance
40,Mary,Brown,Male,43,Canada,Vancouver,2024-09-12,Individual,Finance
41,Elizabeth,Hanson,Female,47,Canada,Toronto,2024-03-10,SMB,Education
42,Gregory,Daniel,Male,36,Australia,Melbourne,2022-11-14,Startup,Technology
43,Alyssa,Hatfield,Male,21,Germany,Berlin,2023-10-05,Enterprise,Retail
44,Karen,Walton,Other,23,Singapore,Singapore,2022-04-27,Startup,Technology
45,Gregory,Anderson,Female,25,Germany,Berlin,2023-04-27,Startup,Retail
46,Bryan,Martin,Female,60,Germany,Berlin,2022-06-17,SMB,Healthcare
47,James,Richardson,Male,34,India,Bangalore,2023-10-06,Enterprise,Finance
48,Abigail,Fields,Female,22,Australia,Melbourne,2024-07-25,Individual,Education
49,Deanna,Maldonado,Other,31,Germany,Berlin,2022-05-31,SMB,Finance
50,David,Evans,Female,36,UK,London,2023-05-16,Startup,Education
51,Michele,Morris,Male,60,Singapore,Singapore,2024-12-19,SMB,Marketing
52,Rachel,Underwood,Male,24,USA,New York,2023-06-26,Startup,Healthcare
53,Donald,Kramer,Male,61,UK,London,2023-12-04,SMB,Retail
54,Daniel,Baker,Male,58,Canada,Vancouver,2022-04-15,Enterprise,Healthcare
55,Marisa,Diaz,Male,58,USA,New York,2023-11-15,SMB,Finance
56,Bradley,Rowe,Other,45,Australia,Melbourne,2025-02-03,Individual,Technology
57,Daniel,Allen,Other,20,USA,Chicago,2022-11-02,SMB,Retail
58,Vincent,Williams,Male,20,Germany,Berlin,2024-05-30,SMB,Healthcare
59,Sharon,Ferguson,Male,61,Singapore,Singapore,2024-01-03,Startup,Marketing
60,Melissa,Turner,Female,57,USA,San Francisco,2025-02-20,Startup,Finance
61,Holly,Harrison,Female,19,Singapore,Singapore,2022-12-29,Startup,Marketing
62,Andrew,Miller,Female,28,UK,Manchester,2023-05-24,Individual,Education
63,Amanda,Green,Male,30,Singapore,Singapore,2024-08-21,Enterprise,Healthcare
64,Jessica,Rollins,Male,60,UK,London,2023-04-02,Startup,Education
65,Pamela,Williams,Female,40,UK,Manchester,2022-05-23,Enterprise,Marketing
66,Adam,Kidd,Male,34,Singapore,Singapore,2022-02-26,Startup,Retail
67,Jill,Estrada,Other,45,UK,London,2022-08-11,SMB,Marketing
68,Monica,Smith,Other,50,Singapore,Singapore,2024-06-12,Individual,Education
69,Kevin,Escobar,Male,63,Germany,Berlin,2023-06-06,Enterprise,Technology
70,Wesley,Lynn,Female,22,Germany,Berlin,2024-01-16,SMB,Retail
71,Peter,Brown,Other,37,UK,London,2023-09-08,Enterprise,Healthcare
72,Judy,Martin,Male,30,Canada,Vancouver,2025-02-09,Enterprise,Marketing
73,Dwayne,Kelly,Female,43,Canada,Toronto,2025-03-11,Individual,Healthcare
74,Charles,Jimenez,Other,56,UK,London,2024-05-30,SMB,Education
75,Michael,White,Other,48,Canada,Vancouver,2023-03-14,Startup,Marketing
76,Denise,Swanson,Other,58,USA,San Francisco,2024-11-21,SMB,Technology
77,Robert,Dunn,Male,30,Singapore,Singapore,2023-09-28,Startup,Technology
78,Madison,Harvey,Other,22,USA,New York,2024-08-31,Enterprise,Education
79,Paul,Lewis,Female,43,Australia,Sydney,2024-02-26,Startup,Finance
80,William,Diaz,Female,32,Australia,Sydney,2022-08-07,Startup,Marketing
81,Michelle,Brown,Other,33,Germany,Munich,2022-04-13,Individual,Education
82,Kara,Gonzalez,Other,56,India,Mumbai,2024-12-23,SMB,Education
83,Andrew,Wade,Female,28,Germany,Munich,2025-01-27,Enterprise,Education
84,Robert,Miller,Other,49,UK,London,2023-07-22,Startup,Healthcare
85,Andrea,Anthony,Male,35,Canada,Toronto,2023-08-09,SMB,Healthcare
86,Nicole,Mccullough,Male,32,Germany,Berlin,2022-10-11,Enterprise,Marketing
87,Dillon,Barrett,Male,44,India,Bangalore,2023-03-15,Enterprise,Healthcare
88,Dylan,Ellis,Male,31,Germany,Munich,2024-05-01,Enterprise,Education
89,Brian,Wilson,Female,48,Singapore,Singapore,2025-03-25,Individual,Healthcare
90,Alexis,Kim,Other,65,UK,Manchester,2024-05-08,Startup,Education
91,Michael,Ray,Female,19,India,Mumbai,2024-06-11,Enterprise,Healthcare
92,Austin,Perez,Female,26,Australia,Melbourne,2022-12-05,Individual,Education
93,Patrick,Valencia,Other,45,Germany,Berlin,2022-06-21,Startup,Education
94,Robert,Ross,Female,38,India,Ahmedabad,2023-06-17,Startup,Education
95,Jessica,Maddox,Female,44,UK,Manchester,2024-02-16,SMB,Technology
96,Joseph,Lane,Male,40,Canada,Toronto,2025-01-09,Startup,Marketing
97,Vicki,Martinez,Male,33,USA,Chicago,2022-03-24,Startup,Technology
98,Tiffany,Gonzalez,Male,48,Germany,Berlin,2023-05-04,Individual,Retail
99,Kevin,Williams,Female,28,India,Mumbai,2023-06-09,Individual,Finance
100,Raymond,Reese,Male,37,UK,London,2025-03-31,Enterprise,Education
101,Kelly,Weaver,Other,62,Australia,Sydney,2022-06-05,Startup,Technology
102,John,Myers,Other,20,Australia,Melbourne,2022-09-05,SMB,Retail
103,Jeff,Williams,Other,59,Canada,Vancouver,2022-05-22,SMB,Technology
104,John,Cross,Male,45,Singapore,Singapore,2024-09-30,SMB,Marketing
105,Daniel,Higgins,Female,29,Singapore,Singapore,2022-11-10,SMB,Retail
106,Tara,Jenkins,Female,64,Singapore,Singapore,2024-08-10,SMB,Healthcare
107,Denise,Young,Female,46,Singapore,Singapore,2022-06-27,Startup,Education
108,James,Smith,Male,49,Germany,Munich,2023-11-20,SMB,Finance
109,Daniel,Sloan,Female,39,Canada,Toronto,2023-12-28,SMB,Retail
110,Charles,Brown,Male,51,Australia,Melbourne,2025-02-12,Startup,Technology
